label,x,y,z,buried
1 1,613087.1,6651252.8,130.90483,0
1 2,613088.0729166666,6651252.925,130.89882,0
1 3,613089.0458333333,6651253.05,130.90778,0
1 4,613090.0187499999,6651253.175,130.92082,0
1 5,613090.9916666667,6651253.3,130.94443,0
1 6,613091.9645833333,6651253.425,130.97845,0
1 7,613092.9375,6651253.55,130.997,0
1 8,613093.9104166667,6651253.675,131.01591,0
1 9,613094.8833333333,6651253.8,131.02023,0
1 10,613095.85625,6651253.925,131.02023,0
1 11,613096.8291666666,6651254.05,131.0297,0
1 12,613097.8020833334,6651254.175,131.04393,0
1 13,613098.775,6651254.3,131.06291,0
1 14,613099.7479166667,6651254.425,131.09486,0
1 15,613100.7208333333,6651254.55,131.11357,0
1 16,613101.69375,6651254.675,131.13092,0
1 17,613102.6666666666,6651254.8,131.15222,0
1 18,613103.6395833333,6651254.925,131.1939,0
1 19,613104.6125,6651255.05,131.23953,0
1 20,613105.5854166667,6651255.175,131.26054,0
1 21,613106.5583333333,6651255.3,131.30536,0
1 22,613107.53125,6651255.425,131.34352,0
1 23,613108.5041666667,6651255.55,131.42152,0
1 24,613109.4770833333,6651255.675,131.48581,0
1 25,613110.45,6651255.8,131.54776,0
1 26,613111.4229166667,6651255.925,131.58485,0
1 27,613112.3958333334,6651256.05,131.62231,0
1 28,613113.36875,6651256.175,131.67268,0
1 29,613114.3416666667,6651256.3,131.69838,0
1 30,613115.3145833333,6651256.425,131.73135,0
1 31,613116.2875,6651256.55,131.75299,0
1 32,613117.2604166667,6651256.675,131.75589,0
1 33,613118.2333333334,6651256.8,131.74416,0
1 34,613119.20625,6651256.925,131.73286,0
1 35,613120.1791666667,6651257.05,131.72852,0
1 36,613121.1520833333,6651257.175,131.7089,0
1 37,613122.125,6651257.3,131.72107,0
1 38,613123.0979166667,6651257.425,131.72005,0
1 39,613124.0708333334,6651257.55,131.71196,0
1 40,613125.0437500001,6651257.675,131.72382,0
1 41,613126.0166666667,6651257.8,131.74458,0
1 42,613126.9895833334,6651257.925,131.75342,0
1 43,613127.9625,6651258.05,131.70961,0
1 44,613128.9354166667,6651258.175,131.70837,0
1 45,613129.9083333333,6651258.3,131.70206,0
1 46,613130.8812500001,6651258.425,131.7109,0
1 47,613131.8541666667,6651258.55,131.72487,0
1 48,613132.8270833334,6651258.675,131.74973,0
1 49,613133.8,6651258.8,131.7653,0
1 50,613134.8148936171,6651258.813191489,131.78429,0
1 51,613135.8297872341,6651258.826382979,131.81024,0
1 52,613136.8446808511,6651258.839574468,131.84512,0
1 53,613137.8595744681,6651258.852765957,131.86285,0
1 54,613138.8744680851,6651258.865957446,131.895,0
1 55,613139.8893617021,6651258.879148936,131.929,0
1 56,613140.9042553192,6651258.892340425,131.97041,0
1 57,613141.9191489362,6651258.905531915,132.01836,0
1 58,613142.9340425532,6651258.918723404,132.06902,0
1 59,613143.9489361702,6651258.931914894,132.11021,0
1 60,613144.9638297872,6651258.9451063825,132.14316,0
1 61,613145.9787234043,6651258.958297872,132.18655,0
1 62,613146.9936170214,6651258.9714893615,132.20084,0
1 63,613148.0085106384,6651258.984680851,132.21727,0
1 64,613149.0234042554,6651258.9978723405,132.24498,0
1 65,613150.0382978724,6651259.01106383,132.27097,0
1 66,613151.0531914894,6651259.024255319,132.31024,0
1 67,613152.0680851064,6651259.037446808,132.35231,0
1 68,613153.0829787235,6651259.050638298,132.37541,0
1 69,613154.0978723405,6651259.063829787,132.40326,0
1 70,613155.1127659575,6651259.077021277,132.43593,0
1 71,613156.1276595745,6651259.090212766,132.44728,0
1 72,613157.1425531915,6651259.103404256,132.47139,0
1 73,613158.1574468085,6651259.116595744,132.47955,0
1 74,613159.1723404255,6651259.129787234,132.48251,0
1 75,613160.1872340426,6651259.142978723,132.47414,0
1 76,613161.2021276596,6651259.156170213,132.47227,0
1 77,613162.2170212766,6651259.169361702,132.45927,0
1 78,613163.2319148936,6651259.182553192,132.4996,0
1 79,613164.2468085106,6651259.195744681,132.57843,0
1 80,613165.2617021276,6651259.20893617,132.73257,0
1 81,613166.2765957447,6651259.222127659,132.83427,0
1 82,613167.2914893617,6651259.235319149,132.90509,0
1 83,613168.3063829787,6651259.248510638,132.94853,0
1 84,613169.3212765957,6651259.261702128,132.95512,0
1 85,613170.3361702128,6651259.274893617,132.8226,0
1 86,613171.3510638298,6651259.288085106,132.63634,0
1 87,613172.3659574469,6651259.301276595,132.62242,0
1 88,613173.3808510639,6651259.314468085,132.62675,0
1 89,613174.3957446809,6651259.327659574,132.63475,0
1 90,613175.4106382979,6651259.340851064,132.63228,0
1 91,613176.4255319149,6651259.354042553,132.66045,0
1 92,613177.4404255319,6651259.367234043,132.67093,0
1 93,613178.455319149,6651259.380425531,132.6897,0
1 94,613179.470212766,6651259.393617021,132.71393,0
1 95,613180.485106383,6651259.40680851,132.73407,0
1 96,613181.5,6651259.42,132.7451,0
2 1,613047.4,6651240.3,130.46277,0
2 2,613052.2936170213,6651241.346808511,130.746,0
2 3,613057.1872340426,6651242.393617021,130.92828,0
2 4,613062.0808510638,6651243.440425532,130.81648,0
2 5,613066.9744680851,6651244.487234042,130.93079,0
2 6,613071.8680851064,6651245.534042553,131.04597,0
2 7,613076.7617021276,6651246.580851064,131.04485,0
2 8,613081.6553191489,6651247.627659574,131.0901,0
2 9,613086.5489361703,6651248.674468085,131.10112,0
2 10,613091.4425531916,6651249.721276595,131.04399,0
2 11,613096.3361702128,6651250.768085106,131.13065,0
2 12,613101.2297872341,6651251.814893617,131.20718,0
2 13,613106.1234042554,6651252.861702127,131.36841,0
2 14,613111.0170212766,6651253.908510638,131.60172,0
2 15,613115.9106382979,6651254.9553191485,131.76416,0
2 16,613120.8042553192,6651256.0021276595,131.75647,0
2 17,613125.6978723404,6651257.0489361705,131.74458,0
2 18,613130.5914893617,6651258.095744681,131.7548,0
2 19,613135.485106383,6651259.142553192,131.78429,0
2 20,613140.3787234043,6651260.189361702,131.90097,0
2 21,613145.2723404255,6651261.236170213,132.1318,0
2 22,613150.1659574468,6651262.282978724,132.2833,0
2 23,613155.0595744681,6651263.329787234,132.36484,0
2 24,613159.9531914893,6651264.376595745,132.4007,0
2 25,613164.8468085107,6651265.423404255,133.04112,0
2 26,613169.740425532,6651266.470212766,133.64795,0
2 27,613174.6340425533,6651267.517021276,134.21686,0
2 28,613179.5276595745,6651268.563829787,134.37993,0
2 29,613184.4212765958,6651269.610638298,134.57208,0
2 30,613189.3148936171,6651270.657446808,134.30655,0
2 31,613194.2085106383,6651271.704255319,133.70999,0
2 32,613199.1021276596,6651272.751063829,133.2869,0
2 33,613203.9957446809,6651273.79787234,133.27063,0
2 34,613208.8893617021,6651274.844680851,133.2983,0
2 35,613213.7829787234,6651275.891489361,133.39879,0
2 36,613218.6765957447,6651276.938297872,133.50056,0
2 37,613223.570212766,6651277.9851063825,133.53084,0
2 38,613228.4638297872,6651279.031914894,133.73097,0
2 39,613233.3574468085,6651280.078723405,133.65672,0
2 40,613238.2510638298,6651281.125531915,133.7246,0
2 41,613243.1446808511,6651282.172340426,133.91286,0
2 42,613248.0382978724,6651283.219148936,134.0499,0
2 43,613252.9319148937,6651284.265957447,134.21661,0
2 44,613257.825531915,6651285.312765958,134.30714,0
2 45,613262.7191489362,6651286.359574468,134.36931,0
2 46,613267.6127659575,6651287.406382979,134.54622,0
2 47,613272.5063829788,6651288.453191489,134.75002,0
2 48,613277.4,6651289.5,135.20883,0
3 1,612864.5,6651305.513,121.22662,0
3 2,612867.2238571428,6651301.346047619,121.860275,0
3 3,612869.9477142857,6651297.179095238,122.28219,0
3 4,612872.6715714285,6651293.012142858,122.92111,0
3 5,612875.3954285714,6651288.845190477,123.54756,0
3 6,612878.1192857142,6651284.678238096,124.22136,0
3 7,612880.8431428572,6651280.511285715,124.84067,0
3 8,612883.567,6651276.344333334,125.370125,0
3 9,612886.2908571429,6651272.177380953,126.062614,0
3 10,612889.0147142857,6651268.010428572,126.63423,0
3 11,612891.7385714286,6651263.843476191,127.21187,0
3 12,612894.4624285714,6651259.676523809,127.72818,0
3 13,612897.1862857143,6651255.509571428,128.28677,0
3 14,612899.9101428571,6651251.3426190475,129.00078,0
3 15,612902.634,6651247.175666667,130.0627,0
3 16,612905.3578571428,6651243.008714286,130.93689,0
3 17,612908.0817142858,6651238.841761905,131.60667,0
3 18,612910.8055714286,6651234.674809524,131.8835,0
3 19,612913.5294285715,6651230.507857143,132.13377,0
3 20,612916.2532857143,6651226.340904762,132.23593,0
3 21,612918.9771428572,6651222.173952381,132.45872,0
3 22,612921.701,6651218.007,132.86217,0
3 23,612923.8663513514,6651213.5102702705,133.06493,0
3 24,612926.0317027027,6651209.013540541,133.22794,0
3 25,612928.197054054,6651204.516810811,133.51584,0
3 26,612930.3624054054,6651200.020081081,133.71408,0
3 27,612932.5277567568,6651195.523351352,134.44925,0
3 28,612934.6931081081,6651191.026621622,134.95476,0
3 29,612936.8584594595,6651186.529891892,135.89023,0
3 30,612939.0238108108,6651182.033162163,136.90858,0
3 31,612941.1891621621,6651177.536432433,137.26602,0
3 32,612943.3545135135,6651173.039702703,137.56161,0
