label,x,y,z
1 1,299155.98202906665,6696129.29932533,70.80192
1 2,299156.96873287717,6696129.016878527,70.75467
1 3,299157.9554366876,6696128.734431722,70.7245
1 4,299158.94214049814,6696128.451984919,70.58132
1 5,299159.92884430866,6696128.169538115,70.490234
1 6,299160.91554811917,6696127.887091311,70.40619
1 7,299161.9022519296,6696127.604644507,70.36117
1 8,299162.88895574014,6696127.322197703,70.29713
1 9,299163.87565955066,6696127.039750899,70.26248
1 10,299164.8623633612,6696126.757304096,70.19999
1 11,299165.8490671716,6696126.474857291,70.156
1 12,299166.83577098214,6696126.192410488,70.176506
1 13,299167.82247479266,6696125.909963684,70.219025
1 14,299168.8091786031,6696125.62751688,70.17839
1 15,299169.79588241363,6696125.345070076,70.12403
1 16,299170.78258622414,6696125.062623272,70.101494
1 17,299171.76929003466,6696124.780176468,70.07175
1 18,299172.7559938451,6696124.497729665,69.95863
1 19,299173.74269765563,6696124.21528286,69.899216
1 20,299174.72940146615,6696123.932836057,69.91978
1 21,299175.71610527666,6696123.650389253,69.85533
1 22,299176.7028090871,6696123.367942449,69.887665
1 23,299177.68951289763,6696123.085495645,69.892784
1 24,299178.67621670815,6696122.803048842,69.88333
1 25,299179.6629205186,6696122.520602037,69.8885
1 26,299180.6496243291,6696122.238155234,69.91685
1 27,299181.63632813963,6696121.955708429,69.883575
1 28,299182.62303195015,6696121.673261626,69.902504
1 29,299183.6097357606,6696121.390814822,69.90078
1 30,299184.5964395711,6696121.108368018,69.88298
1 31,299185.58314338163,6696120.825921214,69.83761
1 32,299186.56984719215,6696120.543474411,69.828445
1 33,299187.5565510026,6696120.261027606,69.828735
1 34,299188.5432548131,6696119.978580803,69.84031
1 35,299189.52995862364,6696119.696133998,69.84535
1 36,299190.5166624341,6696119.413687195,69.840195
1 37,299191.5033662446,6696119.131240391,69.8075
1 38,299192.4900700551,6696118.848793587,69.79448
1 39,299193.47677386564,6696118.566346783,69.77206
1 40,299194.4634776761,6696118.28389998,69.72949
1 41,299195.4501814866,6696118.001453175,69.69592
1 42,299196.4368852971,6696117.719006372,69.653435
1 43,299197.42358910764,6696117.436559568,69.57103
1 44,299198.4102929181,6696117.154112764,69.5762
1 45,299199.3969967286,6696116.87166596,69.524284
1 46,299200.3837005391,6696116.589219156,69.49497
1 47,299201.3704043496,6696116.306772352,69.49565
1 48,299202.3571081601,6696116.024325549,69.48511
1 49,299203.3438119706,6696115.741878744,69.56267
1 50,299204.3305157811,6696115.459431941,69.503006
1 51,299205.3172195916,6696115.176985137,69.45272
1 52,299206.3039234021,6696114.894538333,69.288826
1 53,299207.2906272126,6696114.612091529,69.1771
1 54,299208.27733102307,6696114.329644725,69.13638
1 55,299209.2640348336,6696114.047197921,69.12195
1 56,299210.2507386441,6696113.764751118,69.03698
1 57,299211.2374424546,6696113.482304313,69.07843
1 58,299212.22414626507,6696113.19985751,69.12438
1 59,299213.2108500756,6696112.917410706,69.08985
1 60,299214.1975538861,6696112.634963902,69.10468
1 61,299215.1842576966,6696112.352517098,69.09244
1 62,299216.1709615071,6696112.070070295,69.08829
1 63,299217.1576653176,6696111.78762349,69.054504
1 64,299218.1443691281,6696111.505176687,69.06327
1 65,299219.13107293856,6696111.222729882,69.06875
1 66,299220.1177767491,6696110.940283079,69.08524
1 67,299221.1044805596,6696110.657836275,69.0702
1 68,299222.0911843701,6696110.375389471,69.07757
1 69,299223.07788818056,6696110.092942667,69.07787
1 70,299224.0645919911,6696109.810495864,69.03722
1 71,299225.0512958016,6696109.528049059,69.00759
1 72,299226.0379996121,6696109.245602256,69.008354
1 73,299227.02470342256,6696108.963155451,68.93949
1 74,299228.0114072331,6696108.680708648,68.94311
1 75,299228.9981110436,6696108.398261844,68.94311
1 76,299229.98481485405,6696108.11581504,68.952576
1 77,299230.97151866456,6696107.833368236,68.8708
1 78,299231.9582224751,6696107.550921433,68.882996
1 79,299232.9449262856,6696107.268474628,68.89119
1 80,299233.93163009605,6696106.986027825,68.82821
1 81,299234.91833390656,6696106.703581021,68.83294
1 82,299235.9050377171,6696106.421134217,68.825005
1 83,299236.8917415276,6696106.138687413,68.81398
1 84,299237.87844533805,6696105.856240609,68.77675
1 85,299238.86514914857,6696105.573793805,68.781296
1 86,299239.8518529591,6696105.291347002,68.790474
1 87,299240.83855676954,6696105.008900197,68.799225
1 88,299241.82526058005,6696104.726453394,68.79889
1 89,299242.81196439057,6696104.44400659,68.877655
1 90,299243.7986682011,6696104.161559786,68.89644
1 91,299244.78537201154,6696103.879112982,68.80211
1 92,299245.77207582205,6696103.596666178,68.80723
1 93,299246.75877963257,6696103.314219374,68.79709
1 94,299247.7454834431,6696103.031772571,68.77539
1 95,299248.73218725354,6696102.749325766,68.788
1 96,299249.71889106405,6696102.466878963,68.76801
2 1,299132.35396462004,6696216.983667665,70.851456
2 2,299133.37240472384,6696216.591383495,70.746994
2 3,299134.39084482763,6696216.199099326,70.74371
2 4,299135.40928493143,6696215.806815156,70.50351
2 5,299136.42772503523,6696215.414530986,70.20772
2 6,299137.44616513903,6696215.022246815,70.06843
2 7,299138.4646052429,6696214.6299626455,70.09492
2 8,299139.4830453467,6696214.237678476,70.10008
2 9,299140.5014854505,6696213.845394306,70.053535
2 10,299141.5199255543,6696213.453110136,70.07378
2 11,299142.5383656581,6696213.060825966,70.09219
2 12,299143.5568057619,6696212.6685417965,70.055954
2 13,299144.5752458657,6696212.276257627,70.07962
2 14,299145.5936859695,6696211.883973456,70.04756
2 15,299146.6121260733,6696211.491689286,70.103386
2 16,299147.6305661771,6696211.099405116,70.10408
2 17,299148.6490062809,6696210.707120947,70.08088
2 18,299149.6674463847,6696210.314836777,70.09732
